"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44001 - RIOHACHA","SERCONPYO S.A.S.","20.120.516","20.220.228","797.685.000","G4652 ** Comercio al por mayor de equipo  partes y piezas electronicos y de telecomunicaciones","J6202 ** Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas","16"
"44430 - MAICAO","INSTITUTO DIAGNOSTICO POR IMAGENES DE MAICAO","20.120.621","20.220.323","5.897.085.560","Q8691 ** Actividades de apoyo diagnostico","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","EXPRESO ESPECIAL DEL NORTE S.A.S","20.120.621","20.220.331","1.361.350.284","H4921 ** Transporte de pasajeros","H4923 ** Transporte de carga por carretera","16"
"44650 - SAN JUAN DEL CESAR","ECOTEC CONSTRUCCIONES INTERVENTORIAS  Y SUMINISTROS S.A.S","20.120.622","20.220.329","510.882.832","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44650 - SAN JUAN DEL CESAR","SERVICIOS DE INGENIERIA ELECTRICA SINEL S.A.S","20.120.626","20.220.331","2.478.193.000","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","M7111 ** Actividades de arquitectura","16"
"44001 - RIOHACHA","COMPRESORES Y CONSTRUCCIONES DE COLOMBIA LTDA","20.120.718","20.220.326","600.004.830","F4210 ** Construccion de carreteras y vias de ferrocarril","M7111 ** Actividades de arquitectura","3"
"44001 - RIOHACHA","CUESTA ARQUITECTOS S.A.S.","20.120.724","20.220.525","689.502.134","M7111 ** Actividades de arquitectura","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","16"
"44430 - MAICAO","TARPAL S.A.S","20.120.725","20.220.714","581.754.000","F4290 ** Construccion de otras obras de ingenieria civil","M7020 ** Actividades de consultoria de gestion","16"
"44001 - RIOHACHA","DIAGNOSTICOS MEDICOS AVANZADOS DEL NORTE SAS","20.120.726","20.220.426","654.932.982","Q8691 ** Actividades de apoyo diagnostico","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","DISTRIBUIDORA BAHIA REAL DE LA GUAJIRA S.A.S","20.120.814","20.220.330","3.927.698.512","G4631 ** Comercio al por mayor de productos alimenticios","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","16"
"44001 - RIOHACHA","JAVIER DARIO SANDOVAL RIVERA","20.120.816","20.220.408","1.450.664.072","F4321 ** Instalaciones electricas","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","1"
"44001 - RIOHACHA","TRANSPORTE DE URGENCIAS MEDICALIZADAS INMEDIATAS S.A.S","20.120.911","20.220.331","1.579.622.831","Q8699 ** Otras actividades de atencion de la salud humana",,"16"
